,Reward,Total Mean,Total Reward
96,250.0,240.20618556701032,23300.0
97,50.0,238.26530612244898,23350.0
98,450.0,240.40404040404042,23800.0
99,250.0,240.5,24050.0
100,300.0,241.0891089108911,24350.0
101,250.0,241.1764705882353,24600.0
102,300.0,241.74757281553397,24900.0
103,100.0,240.3846153846154,25000.0
104,300.0,240.95238095238096,25300.0
105,300.0,241.50943396226415,25600.0
106,250.0,241.58878504672896,25850.0
107,400.0,243.05555555555554,26250.0
108,150.0,242.2018348623853,26400.0
109,100.0,240.9090909090909,26500.0
110,250.0,240.99099099099098,26750.0
111,150.0,240.17857142857142,26900.0
112,200.0,239.8230088495575,27100.0
113,200.0,239.47368421052633,27300.0
114,400.0,240.8695652173913,27700.0
115,350.0,241.81034482758622,28050.0
116,550.0,244.44444444444446,28600.0
117,200.0,244.0677966101695,28800.0
118,200.0,243.69747899159663,29000.0
119,500.0,245.83333333333334,29500.0
120,150.0,245.04132231404958,29650.0
121,150.0,244.2622950819672,29800.0
122,300.0,244.71544715447155,30100.0
123,100.0,243.5483870967742,30200.0
124,250.0,243.6,30450.0
125,50.0,242.06349206349208,30500.0
126,200.0,241.73228346456693,30700.0
127,200.0,241.40625,30900.0
128,100.0,240.31007751937983,31000.0
129,250.0,240.3846153846154,31250.0
130,150.0,239.6946564885496,31400.0
131,350.0,240.53030303030303,31750.0
132,550.0,242.85714285714286,32300.0
133,550.0,245.1492537313433,32850.0
134,50.0,243.7037037037037,32900.0
135,700.0,247.05882352941177,33600.0
136,100.0,245.98540145985402,33700.0
137,500.0,247.82608695652175,34200.0
138,150.0,247.12230215827338,34350.0
139,100.0,246.07142857142858,34450.0
140,300.0,246.45390070921985,34750.0
141,250.0,246.4788732394366,35000.0
142,250.0,246.5034965034965,35250.0
143,600.0,248.95833333333334,35850.0
144,300.0,249.31034482758622,36150.0
145,100.0,248.2876712328767,36250.0
146,250.0,248.29931972789115,36500.0
147,100.0,247.2972972972973,36600.0
148,450.0,248.65771812080536,37050.0
149,350.0,249.33333333333334,37400.0
150,300.0,249.66887417218544,37700.0
151,150.0,249.01315789473685,37850.0
152,450.0,250.32679738562092,38300.0
153,250.0,250.32467532467533,38550.0
154,300.0,250.6451612903226,38850.0
155,250.0,250.64102564102564,39100.0
156,350.0,251.27388535031847,39450.0
157,350.0,251.8987341772152,39800.0
158,700.0,254.71698113207546,40500.0
159,300.0,255.0,40800.0
160,400.0,255.90062111801242,41200.0
161,400.0,256.7901234567901,41600.0
162,850.0,260.42944785276075,42450.0
163,600.0,262.5,43050.0
164,800.0,265.75757575757575,43850.0
165,350.0,266.26506024096386,44200.0
166,150.0,265.5688622754491,44350.0
167,150.0,264.8809523809524,44500.0
168,300.0,265.0887573964497,44800.0
169,500.0,266.47058823529414,45300.0
170,350.0,266.9590643274854,45650.0
171,100.0,265.98837209302326,45750.0
172,400.0,266.7630057803468,46150.0
173,400.0,267.5287356321839,46550.0
174,300.0,267.7142857142857,46850.0
175,250.0,267.6136363636364,47100.0
176,600.0,269.49152542372883,47700.0
177,300.0,269.6629213483146,48000.0
178,250.0,269.55307262569835,48250.0
179,200.0,269.1666666666667,48450.0
180,450.0,270.16574585635357,48900.0
181,750.0,272.8021978021978,49650.0
182,250.0,272.6775956284153,49900.0
183,450.0,273.64130434782606,50350.0
184,200.0,273.2432432432432,50550.0
185,200.0,272.8494623655914,50750.0
186,350.0,273.2620320855615,51100.0
187,500.0,274.468085106383,51600.0
188,150.0,273.8095238095238,51750.0
189,450.0,274.7368421052632,52200.0
190,700.0,276.9633507853403,52900.0
191,550.0,278.3854166666667,53450.0
