Step,Reward,Total Mean,Total Reward
246132,450,367.5516224,249200
246606,550,367.820324,249750
247116,500,368.0147059,250250
247507,400,368.061674,250650
248106,500,368.255132,251150
248443,300,368.1551977,251450
248901,350,368.128655,251800
249400,400,368.1751825,252200
249787,250,368.0029155,252450
250082,350,367.9767103,252800
250514,450,368.0959302,253250
250821,300,367.9970972,253550
251225,550,368.2608696,254100
251574,200,368.0173661,254300
251968,450,368.1358382,254750
252342,400,368.1818182,255150
252795,450,368.2997118,255600
253014,250,368.1294964,255850
253537,500,368.3189655,256350
254020,550,368.579627,256900
254363,300,368.4813754,257200
254922,850,369.1702432,258050
255300,450,369.2857143,258500
255550,300,369.1868759,258800
256026,550,369.4444444,259350
256616,750,369.9857752,260100
257121,600,370.3125,260700
257437,300,370.212766,261000
257785,400,370.2549575,261400
258408,650,370.6506365,262050
258677,200,370.4096045,262250
259152,550,370.6629055,262800
259721,750,371.1971831,263550
260034,350,371.1673699,263900
260436,400,371.2078652,264300
260686,150,370.8976157,264450
260969,400,370.9383754,264850
261361,250,370.7692308,265100
261809,450,370.8798883,265550
262121,300,370.7810321,265850
262402,350,370.7520891,266200
262870,600,371.0709318,266800
263143,300,370.9722222,267100
263563,500,371.1511789,267600
263965,250,370.9833795,267850
264230,350,370.9543568,268200
264583,400,370.9944751,268600
264809,150,370.6896552,268750
265382,700,371.1432507,269450
265747,450,371.2517194,269900
266239,550,371.4972527,270450
266830,500,371.6735254,270950
267110,150,371.369863,271100
267377,250,371.2038304,271350
267597,150,370.9016393,271500
267874,300,370.8049113,271800
268433,600,371.1171662,272400
268820,550,371.3605442,272950
269189,200,371.1277174,273150
269448,200,370.8955224,273350
269758,350,370.8672087,273700
269993,200,370.6359946,273900
270279,350,370.6081081,274250
270679,150,370.3103914,274400
271117,500,370.4851752,274900
271558,650,370.8613728,275550
272249,750,371.3709677,276300
272694,350,371.3422819,276650
273007,250,371.1796247,276900
273318,400,371.2182062,277300
273550,250,371.0561497,277550
273879,450,371.1615487,278000
274239,450,371.2666667,278450
274515,300,371.171771,278750
274802,450,371.2765957,279200
275206,200,371.0491368,279400
275766,750,371.5517241,280150
276010,150,371.2582781,280300
276497,600,371.5608466,280900
276848,350,371.5323646,281250
277156,300,371.4379947,281550
277612,500,371.6073781,282050
277904,200,371.3815789,282250
278279,500,371.5505913,282750
278744,650,371.9160105,283400
279172,400,371.9528178,283800
