,0
403,350.0
404,150.0
405,200.0
406,800.0
407,400.0
408,300.0
409,400.0
410,200.0
411,1100.0
412,350.0
413,650.0
414,450.0
415,250.0
416,200.0
417,200.0
418,200.0
419,450.0
420,250.0
421,450.0
422,200.0
423,500.0
424,200.0
425,300.0
426,150.0
427,650.0
428,300.0
429,50.0
430,200.0
431,150.0
432,400.0
433,300.0
434,450.0
435,550.0
436,450.0
437,250.0
438,100.0
439,100.0
440,300.0
441,350.0
442,150.0
443,600.0
444,200.0
445,300.0
446,200.0
447,550.0
448,200.0
449,650.0
450,300.0
451,350.0
452,200.0
453,450.0
454,100.0
455,250.0
456,550.0
457,450.0
458,150.0
459,250.0
460,450.0
461,350.0
462,550.0
463,350.0
464,250.0
465,150.0
466,300.0
467,200.0
468,50.0
469,300.0
470,200.0
471,100.0
472,350.0
473,100.0
474,200.0
475,750.0
476,200.0
477,150.0
478,50.0
479,100.0
480,650.0
481,50.0
482,200.0
483,250.0
484,200.0
485,150.0
486,450.0
487,150.0
488,150.0
489,250.0
490,500.0
491,350.0
492,250.0
493,200.0
494,200.0
495,500.0
496,150.0
497,150.0
498,350.0
499,150.0
500,100.0
501,450.0
502,250.0
503,150.0
504,300.0
505,300.0
506,200.0
507,200.0
508,250.0
509,500.0
510,450.0
511,150.0
512,400.0
513,350.0
514,300.0
515,600.0
516,200.0
517,100.0
518,350.0
519,400.0
520,600.0
521,250.0
522,450.0
523,150.0
524,600.0
525,300.0
526,100.0
527,300.0
528,200.0
529,350.0
530,250.0
531,500.0
532,200.0
533,500.0
534,300.0
535,200.0
536,50.0
537,200.0
538,200.0
539,150.0
540,350.0
541,250.0
542,400.0
543,300.0
544,250.0
545,100.0
546,150.0
547,150.0
548,200.0
549,150.0
550,250.0
551,100.0
552,500.0
553,400.0
554,350.0
555,150.0
556,200.0
557,100.0
558,250.0
559,150.0
560,150.0
561,450.0
562,350.0
563,450.0
564,450.0
565,200.0
566,250.0
567,250.0
568,300.0
569,250.0
570,250.0
571,150.0
572,500.0
573,200.0
574,100.0
575,300.0
576,50.0
577,150.0
578,300.0
579,50.0
580,100.0
581,700.0
582,300.0
583,250.0
584,200.0
585,200.0
586,250.0
587,700.0
588,250.0
589,300.0
590,250.0
591,600.0
592,200.0
593,400.0
594,450.0
595,150.0
596,550.0
597,300.0
598,250.0
599,200.0
600,800.0
601,150.0
602,400.0
603,150.0
604,500.0
605,300.0
606,200.0
607,150.0
608,150.0
